issue_key,title,body,labels,milestone,priority,size,status,area,iteration,dependencies
MVP-001,[Epic] Foundation and environment baseline,"Establish delivery foundations (scope baseline, repo standards, CI/CD, auth scaffolding, telemetry baseline).

Acceptance criteria:
- Dev and staging environments are deployable through CI.
- Core team roles (dispatcher, driver, billing, admin) are represented in RBAC scaffolding.
- Logging and error monitoring baseline are active in staging.",type/epic;area/platform;priority/p0;status/backlog,M1,P0,L,Backlog,platform,Weeks 1-2,
MVP-002,Finalize MVP requirements and acceptance matrix,"Finalize MVP scope, workflows, and definition-of-done criteria aligned to roadmap checkpoints.

Acceptance criteria:
- MVP in-scope and out-of-scope items are documented.
- Workflow acceptance criteria are defined for load creation, dispatch, status updates, and billing export.
- Stakeholder sign-off on scope baseline is recorded.",type/task;area/product;priority/p0;status/backlog,M1,P0,M,Backlog,product,Week 1,
MVP-003,Repository standards and branching strategy,"Establish coding conventions, branch naming, PR review rules, and required checks.

Acceptance criteria:
- Contribution guide includes branch and PR conventions.
- Required checks are enforced for protected main branch.
- PR template includes testing and rollout notes.",type/task;area/platform;priority/p1;status/backlog,M1,P1,S,Backlog,platform,Week 1,MVP-002
MVP-004,CI/CD pipeline for dev and staging,"Implement build/test/deploy pipeline for backend and frontend surfaces with staging promotion.

Acceptance criteria:
- Push to main triggers build and deployment to staging.
- CI enforces linting and test execution.
- Failed deployments provide clear rollback path.",type/task;area/platform;priority/p0;status/backlog,M1,P0,M,Backlog,platform,Week 2,MVP-003
MVP-005,Authentication and RBAC scaffolding,"Add auth foundation and role-based access model for dispatcher, driver, billing, and admin.

Acceptance criteria:
- Protected endpoints require authenticated identity.
- Role claims map to allowed actions by role.
- Unauthorized requests return consistent error responses.",type/feature;area/security;priority/p0;status/backlog,M1,P0,M,Backlog,security,Week 2,"MVP-002, MVP-004"
MVP-006,"Logging, metrics, and baseline alerts","Add structured logs, baseline service metrics, and initial alert rules.

Acceptance criteria:
- Logs include request ID and entity IDs where relevant.
- Basic service health and error rate dashboards exist.
- Alerting triggers on elevated error thresholds.",type/task;area/platform;priority/p1;status/backlog,M1,P1,M,Backlog,platform,Week 2,MVP-004
MVP-007,[Epic] Core load/job domain and APIs,"Build data model and API surface for load/job creation and management.

Acceptance criteria:
- Load and job entities are persisted with lifecycle status.
- CRUD APIs are available and tested.
- Domain validation rules prevent invalid records.",type/epic;area/backend;priority/p0;status/backlog,M1,P0,XL,Backlog,backend,Weeks 3-4,MVP-001
MVP-008,Database schema and migrations for core entities,"Implement schema and migrations for Load, Job, Driver, Assignment, JobStatusEvent, BillingRecord, ExportRun.

Acceptance criteria:
- Migrations run cleanly in local and staging environments.
- Core foreign keys and status constraints are enforced.
- Rollback migration path is validated.",type/task;area/backend;priority/p0;status/backlog,M1,P0,M,Backlog,backend,Week 3,MVP-007
MVP-009,Load CRUD API,"Build create/read/update load endpoints for dispatcher workflows.

Acceptance criteria:
- Loads can be created and retrieved by ID/list.
- Update path enforces immutable fields where required.
- API returns clear validation and not-found errors.",type/feature;area/backend;priority/p0;status/backlog,M1,P0,M,Backlog,backend,Week 4,MVP-008
MVP-010,Job CRUD API linked to load,"Build job APIs with sequencing and relation to parent load.

Acceptance criteria:
- Job creation requires valid `load_id`.
- Sequence ordering is persisted and returned consistently.
- Job status defaults to `UNASSIGNED`.",type/feature;area/backend;priority/p0;status/backlog,M1,P0,M,Backlog,backend,Week 4,MVP-008
